feature,mean_importance
num__pm10_max_6h,0.45967118927208794
num__pm10_max_12h,0.17136248071728705
num__pm10_mean_12h,0.10594741427119589
num__ozone_lag_3h,0.0982401529267705
num__pm2_5_min_6h,0.08609645764472332
num__relative_humidity_2m_lag_1h,0.07971407643617086
num__pm10_lag_1h,0.07191171254373377
num__pm10_change_rate,0.06535675561429972
num__temperature_2m_lag_3h,0.0617262931790062
num__pm2_5_min_12h,0.06083487920596633
num__temperature_2m_lag_24h,0.05912055302422361
num__pm10_min_12h,0.05173445227023303
